pole_id,pole_stencil
1248,"S-EM 5/8"
1249,"S-EM 5/9"
1250,"S-EM 5/10"
1251,"S-EM 5/11"
1252,"S-EM 5/12"
1253,"S-EM 5/13"
1254,"S-EM 5/14"
1255,"S-EM 5/15"
1256,"S-EM 5/16"
1257,"S-EM 5/17"
1258,"S-EM 6/1"
1259,"S-EM 6/2"
1260,"S-EM 6/3"
1261,"S-EM 6/4"
1262,"S-EM 6/5"
1263,"S-EM 6/6"
1264,"S-EM 6/7"
1265,"S-EM 6/8"
1266,"S-EM 6/9"
1267,"S-EM 6/10"
1268,"S-EM 6/11"
1269,"S-EM 6/12"
1270,"S-EM 6/13"
1271,"S-EM 6/14"
1272,"S-EM 6/15"
1273,S-EM
1274,"S-EM 6/16"
1275,BAGAA-7
1276,BAGAA-5
1277,BAGAA-3
1278,BAGA-6
1279,2-29
1280,2-31
1281,2-32
1282,"S-EM 7/1"
1283,"S-EM 7/2"
1284,"S-EM 7/3"
1285,"S-EM 7/4"
1286,"S-EM 7/5"
1287,"S-EM 7/6"
1288,"S-EM 7/7"
1289,"S-EM 7/8"
1290,"S-EM 7/9"
1291,"S-EM 7/10"
1292,"S-EM 7/11"
1293,3-2
1294,2-5
1295,2-100
1296,"S-EM 7/12"
1297,"S-EM 7/13"
1298,"S-EM 8/1"
1299,"S-EM 8/2"
1300,"S-EM 8/3"
1301,"S-EM 8/4"
1302,3-4
1303,3-6
1304,3-8
1305,3-9
1306,2-202337
1307,2-202338
1308,"S-EM 8/9"
1309,"S-EM 8/10"
1310,"S-EM 9/1"
1311,S-EM
1312,"S-EM 8/8"
1313,4-4
1314,1-25
1315,1-27
1316,1-29
1317,1-31
1318,"S-EM 9/3"
1319,"S-EM 9/4"
1320,"S-EM 9/5"
1321,"S-EM 9/6"
1322,4-41
1323,"S-EM 9/7"
1324,"S-EM 9/8"
1325,"S-EM 9/9"
1326,"S-EM 10/2"
1327,"S-EM 10/1"
1328,1-34
1329,1-36
1330,1-38
1331,1-40
1332,"S-EM 10/3"
1333,"S-EM 10/4"
1334,"S-EM 10/5"
1335,"S-EM 10/6"
1336,"S-EM 10/7"
1337,"S-EM 10/8"
1338,"S-EM 11/1"
1339,1-11
1340,1-13
1341,1-15
1342,"S-EM 11/2"
1343,"S-EM 11/3"
1344,"S-EM 11/4"
1345,4-66
1346,4-64
1347,4-63
1348,4-61
1349,BAGAA-4
1350,BAGAA-11
1351,BAGAA-12
1352,"S-EM 4/17"
1353,"S-EM 0/1"
1354,"S-EM 0/2"
1355,"S-EM 0/3"
1356,"S-EM 0/4"
1357,"S-EM 0/5"
1358,"S-EM 0/6"
1359,"S-EM 0/7"
1360,"S-EM 0/8"
1361,"S-EM 0/9"
1362,"S-EM 0/10"
1363,"BS-TL 0/1"
1364,"BS-TL 0/2"
1365,"BS-TL 0/3"
1366,"BS-TL 0/4"
1367,"BS-TL 0/5"
1368,"BS-TL 0/6"
1369,"BS-TL 0/7"
